X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,EXIT_TO_ST,FEATURECOD,DESCRIPTIO,CAPTUREYEA,LINE,ADDRESS_ID,ADDRESS
-77.129227650231172,38.799543093011344,213,mstn_082,VAN DORN ST,http://www.wmata.com/rail/station_detail.cfm?station_id=94,SE CORNER OF EISENHOWER AVE ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,blue,,"5690 EISENHOWER AVENUE, ALEXANDRIA, VA 22304"
-77.059006889352034,38.936145516843808,214,mstn_006,CLEVELAND PARK,http://www.wmata.com/rail/station_detail.cfm?station_id=8,WEST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294817,"3516 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008"
-77.086102310963966,38.960907797284598,215,mstn_056,FRIENDSHIP HEIGHTS,http://www.wmata.com/rail/station_detail.cfm?station_id=11,NE SIDE OF WESTERN AVE AND MD-355 S,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC 20015"
-77.085014412358063,38.958515402482455,216,mstn_018,FRIENDSHIP HEIGHTS ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=11,WEST SIDE OF WISCONSIN AVENUE NW BETWEEN JENIFER STREET NW AND INGOMAR STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294847,"5250 WISCONSIN AVENUE NW, WASHINGTON, DC 20015"
-77.032227529722633,38.900922323074006,217,mstn_023,MCPHERSON SQUARE,http://www.wmata.com/rail/station_detail.cfm?station_id=36,SW CORNER OF 14TH STREET NW AND I STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294841,"1400 I STREET NW, WASHINGTON, DC 20005"
-77.028315817087815,38.893777401108061,218,mstn_015,FEDERAL TRIANGLE ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=53,RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294809,"302 12TH STREET NW, WASHINGTON, DC 20004"
-77.028715367432767,38.893834478005566,219,mstn_015,FEDERAL TRIANGLE,http://www.wmata.com/rail/station_detail.cfm?station_id=53,RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294809,"302 12TH STREET NW, WASHINGTON, DC 20004"
-77.058537425600363,38.935984684467471,220,mstn_006,CLEVELAND PARK,http://www.wmata.com/rail/station_detail.cfm?station_id=8,EAST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294817,"3599 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008"
-76.955602274460176,38.965807800714053,221,mstn_072,PRINCE GEORGES PLAZA,http://www.wmata.com/rail/station_detail.cfm?station_id=78,SW CORNER OF EAST-WEST HWY AND BELCREST CENTER DR ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,green,,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD 20782"
-76.844922193644862,38.899872845107382,222,mstn_064,LARGO TOWN CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=109,WEST SIDE OF LOTTSFORD RD BETWEEN GRAND BLVD AND N HARRY S TRUMAN DR,,Metro Station Entrance,2016-01-08T00:00:00.000Z,"silver, blue",,"9000 LOTTSFORD ROAD, LARGO, MD 20774"
-77.164302350410011,39.120307823943477,223,mstn_075,SHADY GROVE,http://www.wmata.com/rail/station_detail.cfm?station_id=18,NE CORNER OF REDLAND RD AND SOMERVILLE DR ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"15903 SOMERVILLE DRIVE, ROCKVILLE, MD 20855"
-77.051102308877489,39.038307813162973,224,mstn_087,WHEATON,http://www.wmata.com/rail/station_detail.cfm?station_id=33,SW CORNER OF REEDIE DR AND GEORGIA AVE ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"11171 GEORGIA AVENUE, SILVER SPRING, MD 20902"
-77.058437113427345,38.935776981251422,225,mstn_006,CLEVELAND PARK ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=8,EAST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294817,"3599 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008"
-77.044725726556877,38.911005802132529,226,mstn_010,DUPONT CIRCLE,http://www.wmata.com/rail/station_detail.cfm?station_id=6,SE CORNER OF 20TH STREET NW AND Q STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294836,"1525 20TH ST NW, WASHINGTON, DC 20036"
-77.039169088449924,38.901176673755245,227,mstn_013,FARRAGUT WEST,http://www.wmata.com/rail/station_detail.cfm?station_id=38,SE CORNER OF 17TH STREET NW AND I STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294819,"837 17TH STREET NW, WASHINGTON, DC 20006"
-77.041970417896621,38.901629731197445,228,mstn_013,FARRAGUT WEST,http://www.wmata.com/rail/station_detail.cfm?station_id=38,NW CORNER OF 18TH STREET NW AND I STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294819,"900 18TH STREET NW, WASHINGTON, DC 20006"
-77.015377327544513,38.884882182493321,229,mstn_014,FEDERAL CENTER SW,http://www.wmata.com/rail/station_detail.cfm?station_id=58,SE CORNER OF 3RD ST SW AND D ST SW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294808,"401 3RD STREET SW, WASHINGTON, DC 20024"
-77.040130222461812,38.903589847485492,230,mstn_012,FARRAGUT NORTH,http://www.wmata.com/rail/station_detail.cfm?station_id=4,SW CORNER OF L STREET NW AND CONNECTICUT AVENUE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294828,"1720 L STREET NW, WASHINGTON, DC 20036"
-77.039833846434419,38.903930455730929,231,mstn_012,FARRAGUT NORTH,http://www.wmata.com/rail/station_detail.cfm?station_id=4,NE CORNER OF L STREET NW AND CONNECTICUT AVENUE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294828,"1717 L STREET NW, WASHINGTON, DC 20036"
-77.022077966740525,38.893886646179787,232,mstn_027,ARCHIVES | NAVY MEM | PENN QUARTER ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=81,NW CORNER OF 7TH STREET NW AND PENNSYLVANIA AVENUE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"green,yellow",294835,"701 PENNSYLVANIA AVENUE NW, WASHINGTON, DC 20004"
-77.05046474599574,38.900902890115148,233,mstn_016,FOGGY BOTTOM | GWU,http://www.wmata.com/rail/station_detail.cfm?station_id=40,NW CORNER OF 23RD STREET NW AND I STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294821,"2301 I STREET NW, WASHINGTON, DC 20037"
