,MSSR_1.0,Turnover,PctOfHomesIncreasingInValues,mimi,HS_StudentTeachRatio,MS_StudentTeachRatio,count_metro_bus_km,PriceIndex,FreddieMac15yr,distance_public_school_arts_center_km,MSSR_2.0,ListDate_dt_month,HSSR_1.0,CloseDate_dt_month,qcut_CloseDate_dt_month
11344,1.0,4.475,84.09,78.7,15.1,13.4,67,195.0863121,3.25,3.5329380880000003,0.0,8,0.0,9,0
11345,1.0,5.0596,13.41,68.9,10.3,7.4,75,170.1945226,4.28,1.7026757836000002,0.0,5,0.0,7,0
11346,0.0,4.5642,87.7,72.6,15.2,15.0,20,185.6306252,2.72,4.3831057702,0.0,5,0.0,5,0
11347,0.0,4.8648,89.68,77.3,15.2,13.5,32,189.27894,3.43,3.4045922656,0.0,7,0.0,12,0
11348,0.0,4.6904,90.47,80.1,13.9,12.4,22,188.1609222,3.48,3.98017,0.0,1,0.0,1,0
11349,1.0,4.8344,10.16,69.3,10.3,7.4,75,167.1401414,4.33,1.7026757836000002,0.0,3,0.0,3,0
11350,1.0,5.0526,22.08,68.0,10.3,7.4,76,169.4708133,4.04,1.7375357915,0.0,7,0.0,9,0
11351,1.0,3.9827,21.37,66.3,15.5,11.5,65,164.31463390000005,3.16,9.2066235136,0.0,2,1.0,3,0
11352,1.0,3.6706,36.35,66.9,15.5,11.5,76,174.1138544,2.85,9.0812452724,0.0,7,1.0,8,0
11353,1.0,3.6706,36.35,66.9,15.5,11.5,74,174.1138544,2.85,9.772278333400001,0.0,7,1.0,9,0
11354,1.0,5.2219,12.09,68.0,10.0,11.9,70,169.4708133,4.04,9.194530216,0.0,7,1.0,8,0
11355,0.0,6.0004,61.4,78.7,13.9,12.4,18,195.0863121,3.25,2.5356838721,0.0,8,0.0,10,0
11356,0.0,4.1088,53.36,69.3,13.2,11.9,19,167.1401414,4.33,4.1953242575,0.0,3,0.0,3,0
11357,0.0,3.719,80.35,66.9,15.2,13.5,27,174.1138544,2.85,2.7869161459,0.0,7,0.0,7,0
11358,0.0,4.4278,91.71,80.4,13.9,12.4,31,192.8245948,3.39,3.1042002815,0.0,4,0.0,4,0
11359,1.0,5.1633,15.51,68.7,7.1,11.5,65,168.16883080000005,3.82,9.2144810535,0.0,5,1.0,6,0
11360,1.0,4.4036,89.14,79.0,15.1,13.4,66,195.8744368,3.24,3.4522401948000003,0.0,7,0.0,10,0
11361,0.0,4.0036,54.83,67.0,12.6,11.5,76,165.9509441,3.2,3.7584544652,1.0,3,0.0,4,0
11362,1.0,5.6362,98.12,78.1,10.5,9.0,69,189.236479,3.27,1.9707990439,0.0,10,1.0,11,0
11363,1.0,5.6945,97.8,78.8,10.5,9.0,71,188.6493901,3.3,1.7551337702,0.0,11,1.0,1,0
11364,0.0,4.6605,93.47,80.1,13.0,14.6,74,188.1609222,3.48,9.785322649400001,1.0,1,1.0,2,0
11365,1.0,3.705,29.8,67.1,15.5,11.5,85,173.0314193,2.95,10.1271576621,0.0,6,1.0,10,0
