,Bedrooms,distance_public_school_mid_km,distance_public_school_elem_km,distance_public_school_edu_campus_km,distance_metro_station_km,distance_metro_bus_km,distance_grocery_km,distance_cap_gain_school_km,count_metro_bus_km,AvgFamilyIncAdj_2010_14,mimi,FreddieMac15yr,PriceIndex,zip_20007,BathsHalf,PctOfHomesDecreasingInValues,MedianValuePerSqft,SaleCount,TaxTotalLivingArea,BathsFull,Levels,TotalTaxes2,Fireplaces,Acres,DOMP,ListPrice2,qcut_ListPrice2
12592,5,2.3275725558,0.7348191212999999,7.1014228339,2.3410163462,0.0832912388,1.3489862738999998,2.9281169043,53,264688.0,67.2,3.03,171.19616330000005,0.0,1.0,14.58,438.0,1,2892.0,3,4,9062.0,2,0.126,96,1200000,0
12593,4,2.3979569237,0.7696165759999999,7.238166157899999,2.3284153394,0.08682755019999999,1.3512868419,3.0594475273,52,264688.0,67.1,3.14,168.5979178,0.0,2.0,15.33,437.0,1,2189.0,2,3,6342.0,1,0.16,24,969000,0
12594,4,2.3396373069,0.7899555301000001,7.0356920771,2.4158237975,0.1555038913,1.4181984127,2.8050445543,51,264688.0,67.1,2.95,173.0314193,0.0,0.0,14.07,439.0,1,1481.0,2,4,5411.0,2,0.121,6,749000,0
12595,4,2.3174175352,0.7022980617,7.141013687899999,2.2890364663,0.0485256085,1.3025037719,3.009930297,55,264688.0,68.7,4.18,170.4751925,0.0,1.0,19.12,437.0,1,3000.0,3,4,7815.0,1,0.118,6,885000,0
12596,2,0.8859435634,0.737015703,3.3420987649,1.1475950782,0.0455801706,1.3655148987,1.6507460162,74,52687.0,67.6,2.86,174.6158156,0.0,0.0,46.39,168.0,2,988.0,1,3,1621.0,0,0.063,7,69000,0
12597,4,2.4895768484,0.3270085835,5.010095408,1.3413997068,0.0757252522,0.9461366535,1.5167956715000002,80,92969.0,66.8,3.68,165.25843500000005,0.0,1.0,59.72,240.0,1,1436.0,2,3,2795.0,0,0.036000000000000004,4,220000,0
12598,2,1.4804626838,1.0351429844,5.2449382181,0.48127966,0.0611997006,1.6720473046000002,2.5191182817,71,82854.0,75.5,3.17,187.9588779,0.0,0.0,1.06,261.0,1,816.0,2,3,1869.0,0,0.038,9,335000,0
12599,4,1.5433620327000002,0.9694229803,5.3112737078,0.4553003248,0.029516314,1.7351281144,2.4737489364,70,82854.0,69.3,4.33,167.1401414,0.0,1.0,83.27,236.0,1,816.0,1,3,2611.0,0,0.038,22,189000,0
12600,4,3.0974076605,0.3496990953,5.6776189815999984,1.6483006686,0.13589111,0.9421616892,1.0214289394,67,92969.0,66.1,3.2,164.0254855,0.0,1.0,26.4,237.0,2,1598.0,3,3,2983.0,0,0.065,118,437777,0
12601,4,3.4166156632,0.5594676156,6.0409404368,1.7779946048,0.1504993694,0.6428073374000001,0.8186711804000001,57,92969.0,77.3,3.43,189.27894,0.0,1.0,2.22,275.0,2,1476.0,3,3,2556.0,0,0.056,124,549900,0
