,PctOfHomesDecreasingInValues,distance_grocery_km,distance_public_school_arts_center_km,distance_public_school_ye_km,ListPrice2_delta,FreddieMac15yr,PriceIndex,distance_cap_gain_school_km,SaleCount,TaxTotalLivingArea,count_metro_station_km,YearBuilt,Acres,Bedrooms,BasementY/N,Fireplaces,TotalTaxes2,DOMP,qcut_DOMP
1252,2.95,0.9848719544,3.5456614972,1.5159745683,0.4962269060629717,3.39,192.8245948,1.5308636169999998,1,1794.0,0,1931,0.094,3,1,1,2883.0,45,0
1253,5.31,0.4373530803,1.1831577193,1.450554806,-0.11293908403734995,2.76,179.37516409999995,3.4645464181,1,900.0,4,1900,0.0,1,0,2,3221.0,4,0
1254,15.69,1.013276927,3.5111034186000003,0.6470349211,0.12951807228915665,3.31,194.4612831,0.9687297293,1,1262.0,3,1925,0.119,3,1,0,2218.0,16,0
1255,86.13,1.8264739769,8.785141293099999,2.5774109121,0.023202911737943584,4.33,167.1401414,2.8265246718,2,1488.0,3,1947,0.046,3,0,0,5057.0,25,0
1256,53.03,1.8225787844,8.7944102267,2.6402173952,0.200867903930131,3.2,165.9509441,2.7736088813,2,1372.0,3,1905,0.046,3,0,0,1520.0,35,0
1257,5.34,0.638046236,5.0222628287,0.8568414717,-0.3193717277486911,2.86,174.6158156,1.1467060716,2,1352.0,0,1926,0.042,3,1,0,2080.0,38,0
1258,58.62,1.3106326223,8.2727110312,1.852411222,-0.3670678336980305,3.2,164.0254855,2.7283458648,1,1046.0,1,1925,0.073,3,1,1,2443.0,112,0
1259,9.57,0.6640729192,4.9704408205,0.9173318978,-0.1346153846153846,3.24,195.8744368,1.3338343326,2,1336.0,0,1924,0.029,4,1,0,1751.0,2,0
1260,29.52,0.286340377,3.0745041486,1.8748514392,-0.2038649394775961,3.19,193.6113816,2.9731913649,1,503.0,13,1900,0.0,1,0,0,2328.0,7,0
1261,59.72,0.9064303037,2.0988863675,1.2705146248,0.13140521848475326,3.68,165.25843500000005,0.6812092135,1,2000.0,0,1926,0.115,4,1,1,5012.0,112,0
1262,87.21,1.4236750659,8.367439541,1.9644618059,-0.17184782608695653,3.82,168.16883080000005,2.8443728254,1,1444.0,2,1951,0.036000000000000004,3,0,0,2027.0,325,0
1263,23.79,1.8799960037,8.8740179776,2.5036502131,-0.015410958904109588,3.25,195.0863121,2.594443815,1,900.0,3,1943,0.028,2,1,0,1093.0,73,0
1264,31.9,1.1040351109,4.5452096365,0.6834475637999999,0.3104648781486791,3.19,193.6113816,1.3775040385,1,1558.0,0,1926,0.036000000000000004,4,1,0,1898.0,12,0
1265,61.27,1.2061419158,1.7093405333,0.8731983084999999,0.5404201145767027,3.68,168.7131123,1.1249118981,3,1860.0,0,1977,0.065,3,0,0,3210.0,54,0
