RegionName,StateName,Month,Sales
20006,DC,2014-04,2
20006,DC,2014-05,1
20006,DC,2014-06,1
20006,DC,2014-07,1
20006,DC,2014-08,
20006,DC,2014-09,1
20006,DC,2014-10,1
20006,DC,2014-11,1
20006,DC,2014-12,
20006,DC,2015-01,2
20006,DC,2015-02,1
20006,DC,2015-03,
20006,DC,2015-04,1
20006,DC,2015-05,1
20006,DC,2015-06,1
20006,DC,2015-07,4
20006,DC,2015-08,3
20006,DC,2015-09,1
20006,DC,2015-10,
20006,DC,2015-11,2
20006,DC,2015-12,
20006,DC,2016-01,1
20006,DC,2016-02,
20006,DC,2016-03,1
20006,DC,2016-04,1
20006,DC,2016-05,1
20006,DC,2016-06,
20007,DC,2008-06,63
20007,DC,2008-07,53
20007,DC,2008-08,45
20007,DC,2008-09,45
20007,DC,2008-10,36
20007,DC,2008-11,24
20007,DC,2008-12,27
20007,DC,2009-01,18
20007,DC,2009-02,14
20007,DC,2009-03,22
20007,DC,2009-04,30
20007,DC,2009-05,32
20007,DC,2009-06,60
20007,DC,2009-07,58
20007,DC,2009-08,34
20007,DC,2009-09,40
20007,DC,2009-10,37
20007,DC,2009-11,44
20007,DC,2009-12,36
20007,DC,2010-01,25
20007,DC,2010-02,21
20007,DC,2010-03,27
20007,DC,2010-04,30
20007,DC,2010-05,45
20007,DC,2010-06,38
20007,DC,2010-07,38
20007,DC,2010-08,51
20007,DC,2010-09,31
20007,DC,2010-10,35
20007,DC,2010-11,36
20007,DC,2010-12,33
20007,DC,2011-01,30
20007,DC,2011-02,26
20007,DC,2011-03,37
20007,DC,2011-04,44
20007,DC,2011-05,38
20007,DC,2011-06,33
20007,DC,2011-07,42
20007,DC,2011-08,49
20007,DC,2011-09,40
20007,DC,2011-10,22
20007,DC,2011-11,22
20007,DC,2011-12,53
20007,DC,2012-01,23
20007,DC,2012-02,24
20007,DC,2012-03,45
20007,DC,2012-04,30
20007,DC,2012-05,40
20007,DC,2012-06,55
20007,DC,2012-07,35
20007,DC,2012-08,61
20007,DC,2012-09,35
20007,DC,2012-10,36
20007,DC,2012-11,56
