RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,HomesSoldAsForeclosuresRatio
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-11,0.8696
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-12,
66133,20009,Washington,DC,Washington,District of Columbia,26,2016-01,0.7257
66133,20009,Washington,DC,Washington,District of Columbia,26,2016-02,1.0205
66133,20009,Washington,DC,Washington,District of Columbia,26,2016-03,0.6072
66133,20009,Washington,DC,Washington,District of Columbia,26,2016-04,
66133,20009,Washington,DC,Washington,District of Columbia,26,2016-05,
66133,20009,Washington,DC,Washington,District of Columbia,26,2016-06,
66133,20009,Washington,DC,Washington,District of Columbia,26,2016-07,0.5608
66133,20009,Washington,DC,Washington,District of Columbia,26,2016-08,
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-01,4.3327
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-02,5.078
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-03,6.5621
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-04,6.7704
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-05,5.3162
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-06,4.1645
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-07,2.5233
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-08,0.993
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-09,0.8279
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-10,2.0885
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-11,1.3407
66126,20002,Washington,DC,Washington,District of Columbia,32,1998-12,
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-01,1.2055
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-02,1.8863
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-03,1.6122
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-04,2.5987
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-05,2.9117
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-06,2.096
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-07,2.2291
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-08,2.4492
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-09,
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-10,
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-11,
66126,20002,Washington,DC,Washington,District of Columbia,32,1999-12,
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-01,0.5487
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-02,0.9057
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-03,1.0034
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-04,0.4881
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-05,0.6213
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-06,1.3547
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-07,0.8572
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-08,0.8047
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-09,
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-10,
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-11,
66126,20002,Washington,DC,Washington,District of Columbia,32,2000-12,
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-01,
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-02,0.5151
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-03,
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-04,
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-05,
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-06,0.506
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-07,0.8547
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-08,0.5021
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-09,
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-10,
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-11,
66126,20002,Washington,DC,Washington,District of Columbia,32,2001-12,0.9795
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-01,0.6856
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-02,0.7681
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-03,
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-04,1.0909
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-05,1.164
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-06,0.6346
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-07,1.083
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-08,0.6531
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-09,
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-10,
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-11,0.4526
66126,20002,Washington,DC,Washington,District of Columbia,32,2002-12,
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-01,
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-02,
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-03,
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-04,0.8888
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-05,0.6222
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-06,
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-07,
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-08,
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-09,1.4253
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-10,0.9977
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-11,
66126,20002,Washington,DC,Washington,District of Columbia,32,2003-12,0.4656
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-01,2.1567
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-02,4.8497
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-03,5.5423
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-04,4.2478
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-05,3.6255
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-06,2.594
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-07,2.5398
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-08,1.6812
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-09,2.4996
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-10,2.2926
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-11,3.038
66126,20002,Washington,DC,Washington,District of Columbia,32,2004-12,2.4858
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-01,1.6262
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-02,1.4789
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-03,1.2175
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-04,2.429
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-05,2.8015
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-06,1.9589
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-07,0.7232
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-08,1.0789
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-09,2.0242
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-10,1.7093
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-11,1.2014
66126,20002,Washington,DC,Washington,District of Columbia,32,2005-12,2.2815
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-01,1.41
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-02,0.5449
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-03,0.9297
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-04,1.5692
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-05,1.8802
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-06,3.2078
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-07,2.8355
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-08,1.8097
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-09,1.1553
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-10,1.9618
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-11,2.6331
66126,20002,Washington,DC,Washington,District of Columbia,32,2006-12,4.7202
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-01,4.5355
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-02,4.7924
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-03,3.7055
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-04,4.0527
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-05,4.6866
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-06,5.8194
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-07,9.6068
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-08,8.8552
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-09,4.2724
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-10,5.5354
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-11,7.2511
66126,20002,Washington,DC,Washington,District of Columbia,32,2007-12,9.3686
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-01,8.9868
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-02,14.4447
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-03,13.5719
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-04,11.8833
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-05,7.8402
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-06,6.2766
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-07,10.3576
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-08,13.221
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-09,14.9396
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-10,18.8981
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-11,19.7342
66126,20002,Washington,DC,Washington,District of Columbia,32,2008-12,16.3527
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-01,14.3222
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-02,13.1734
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-03,14.0257
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-04,15.022
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-05,16.0399
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-06,11.9791
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-07,12.0464
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-08,10.9406
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-09,12.4892
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-10,10.9912
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-11,12.3771
66126,20002,Washington,DC,Washington,District of Columbia,32,2009-12,10.6282
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-01,13.1918
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-02,6.9369
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-03,8.244
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-04,10.3481
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-05,14.2321
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-06,12.1325
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-07,9.7047
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-08,10.3739
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-09,9.803
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-10,6.7436
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-11,7.2947
66126,20002,Washington,DC,Washington,District of Columbia,32,2010-12,7.815
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-01,7.3713
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-02,6.751
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-03,8.8723
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-04,6.3556
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-05,3.6012
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-06,3.3793
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-07,2.8519
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-08,2.9308
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-09,1.3676
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-10,
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-11,
66126,20002,Washington,DC,Washington,District of Columbia,32,2011-12,0.4978
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-01,1.8136
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-02,2.7617
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-03,1.5501
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-04,0.9291
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-05,
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-06,0.6166
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-07,
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-08,
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-09,
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-10,
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-11,0.4878
66126,20002,Washington,DC,Washington,District of Columbia,32,2012-12,0.8113
