RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctOfHomesDecreasingInValues
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-09,3.83
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-10,3.11
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-11,3.49
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-12,3.84
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-01,3.32
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-02,3.14
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-03,3.19
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-04,3.79
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-05,6.2
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-06,10.37
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-07,14.15
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-08,19.42
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-09,25.98
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-10,34.03
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-11,38.06
66133,20009,Washington,DC,Washington,District of Columbia,25,2014-12,41.55
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-01,47.32
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-02,45.02
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-03,41.78
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-04,39.1
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-05,36.11
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-06,34.11
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-07,30.95
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-08,38.8
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-09,32.34
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-10,29.82
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-11,29.38
66133,20009,Washington,DC,Washington,District of Columbia,25,2015-12,12.01
66133,20009,Washington,DC,Washington,District of Columbia,25,2016-01,11.78
66133,20009,Washington,DC,Washington,District of Columbia,25,2016-02,13.64
66133,20009,Washington,DC,Washington,District of Columbia,25,2016-03,20.6
66133,20009,Washington,DC,Washington,District of Columbia,25,2016-04,25.64
66133,20009,Washington,DC,Washington,District of Columbia,25,2016-05,27.52
66133,20009,Washington,DC,Washington,District of Columbia,25,2016-06,28.32
66133,20009,Washington,DC,Washington,District of Columbia,25,2016-07,26.46
66133,20009,Washington,DC,Washington,District of Columbia,25,2016-08,26.59
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-02,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-03,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-04,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-05,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-06,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-07,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-08,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-09,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-10,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-11,
66126,20002,Washington,DC,Washington,District of Columbia,33,1997-12,
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-01,
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-02,
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-03,
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-04,
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-05,
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-06,
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-07,
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-08,47.11
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-09,28.89
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-10,20.23
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-11,46.59
66126,20002,Washington,DC,Washington,District of Columbia,33,1998-12,53.84
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-01,29.2
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-02,27.34
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-03,26.13
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-04,21.63
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-05,18.77
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-06,15.75
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-07,33.11
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-08,21.99
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-09,24.04
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-10,49.14
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-11,20.29
66126,20002,Washington,DC,Washington,District of Columbia,33,1999-12,28.57
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-01,57.79
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-02,49.69
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-03,59.46
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-04,61.56
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-05,54.11
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-06,55.9
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-07,44.71
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-08,50.21
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-09,52.62
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-10,24.62
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-11,19.58
66126,20002,Washington,DC,Washington,District of Columbia,33,2000-12,17.88
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-01,4.91
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-02,12.44
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-03,11.6
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-04,7.96
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-05,15.69
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-06,13.53
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-07,12.59
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-08,9.54
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-09,8.09
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-10,9.09
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-11,10.4
66126,20002,Washington,DC,Washington,District of Columbia,33,2001-12,13.76
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-01,10.95
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-02,5.61
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-03,5.68
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-04,4.23
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-05,4.17
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-06,5.99
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-07,5.77
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-08,9.84
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-09,9.63
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-10,8.61
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-11,7.78
66126,20002,Washington,DC,Washington,District of Columbia,33,2002-12,6.38
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-01,5.49
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-02,7.34
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-03,4.68
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-04,5.62
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-05,7.41
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-06,8.85
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-07,7.69
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-08,7.68
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-09,7.74
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-10,5.21
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-11,3.61
66126,20002,Washington,DC,Washington,District of Columbia,33,2003-12,3.74
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-01,3.05
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-02,1.85
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-03,2.93
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-04,2.2
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-05,1.67
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-06,1.41
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-07,0.93
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-08,1.45
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-09,0.5
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-10,0.77
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-11,0.86
66126,20002,Washington,DC,Washington,District of Columbia,33,2004-12,0.54
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-01,0.71
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-02,0.84
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-03,0.94
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-04,0.82
66126,20002,Washington,DC,Washington,District of Columbia,33,2005-05,0.93
