RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianValuePerSqft
66155,20037,Washington,DC,Washington,District of Columbia,5557,1996-06,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1996-07,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1996-08,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1996-09,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1996-10,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1996-11,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1996-12,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-01,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-02,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-03,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-04,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-05,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-06,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-07,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-08,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-09,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-10,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-11,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1997-12,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-01,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-02,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-03,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-04,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-05,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-06,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-07,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-08,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-09,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-10,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-11,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1998-12,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-01,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-02,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-03,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-04,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-05,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-06,197
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-07,203
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-08,204
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-09,207
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-10,210
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-11,212
66155,20037,Washington,DC,Washington,District of Columbia,5557,1999-12,215
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-01,219
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-02,225
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-03,232
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-04,237
66155,20037,Washington,DC,Washington,District of Columbia,5557,2000-05,240
