,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
704,Sold,DC7305388DC7305388,3121 Northampton St Nw,"$849,000","$840,000",25-Jun-2010,3,2,1,3,1,Yes,0.122,1926,5,"$6,977","2,392",20015
705,Sold,DC7319431DC7319431,6006 34th Pl Nw,"$775,000","$770,000",25-Jun-2010,3,1,3,4,1,Yes,0.105,1932,3,"$6,331","1,552",20015
706,Sold,DC7343894DC7343894,6220 32nd Pl Nw,"$715,000","$715,000",25-Jun-2010,3,2,1,4,1,Yes,0.139,1931,2,"$6,387","1,820",20015
707,Sold,DC7324883DC7324883,5304 Reno Rd Nw,"$929,000","$903,000",29-Jun-2010,3,2,1,3,1,Yes,0.174,1922,6,"$7,139","2,191",20015
708,Sold,DC7379480DC7379480,5546 29th St Nw,"$735,000","$735,000",29-Jun-2010,4,2,1,3,2,Yes,0.076,1946,0,"$6,049","2,396",20015
709,Sold,DC7303471DC7303471,3237 Arcadia Pl Nw,"$899,000","$899,000",30-Jun-2010,4,2,2,4,1,Yes,0.162,1937,8,"$7,669","2,316",20015
710,Sold,DC7310995DC7310995,3716 Jenifer St Nw,"$725,000","$700,000",30-Jun-2010,4,2,1,4,1,Yes,0.061,1924,31,"$5,739","1,931",20015
711,Sold,DC7313486DC7313486,5311 Connecticut Ave NW #5,"$215,000","$208,000",30-Jun-2010,0,1,0,1,1,No,0,1955,14,"$1,537",374,20015
712,Sold,DC7318866DC7318866,5527 39th St Nw,"$899,000","$875,000",30-Jun-2010,5,3,0,4,0,Yes,0.096,1924,10,"$7,691","2,638",20015
713,Sold,DC7338133DC7338133,3811 Legation St Nw,"$869,500","$875,000",30-Jun-2010,3,2,1,3,1,Yes,0.103,1900,7,"$7,294","1,700",20015
714,Sold,DC7388794DC7388794,4517 Harrison St Nw,"$749,000","$740,000",30-Jun-2010,3,3,0,4,2,No,0.065,1936,0,"$6,807","1,320",20015
715,Sold,DC7310831DC7310831,5324 29th St Nw,"$729,000","$732,500",02-Jul-2010,3,1,2,3,1,Yes,0.092,1938,22,"$6,188","1,350",20015
716,Sold,DC7041723DC7041723,3125 Military Rd Nw,"$1,149,000","$1,015,000",09-Jul-2010,7,6,0,4,1,Yes,0.337,1952,374,$0,"2,538",20015
717,Sold,DC7343554DC7343554,3612 Ingomar Pl Nw,"$775,000","$770,000",09-Jul-2010,3,2,0,3,1,Yes,0.069,1931,8,"$6,462","1,881",20015
718,Sold,DC7235738DC7235738,4301 Military Rd NW #401,"$1,595,000","$1,510,000",12-Jul-2010,2,2,1,1,0,No,0,2007,83,"$12,351","2,019",20015
719,Sold,DC7351250DC7351250,5811 33rd St Nw,"$899,000","$899,000",12-Jul-2010,4,3,1,3,2,Yes,0.115,1975,9,"$7,435","2,507",20015
720,Sold,DC7264694DC7264694,4200 Military Rd Nw,"$1,299,000","$1,230,000",15-Jul-2010,5,4,1,4,1,Yes,0.087,2002,92,"$12,373","3,116",20015
721,Sold,DC7326599DC7326599,5424 Nevada Ave Nw,"$789,900","$804,900",15-Jul-2010,3,2,1,3,1,Yes,0.093,1930,11,"$6,140","1,808",20015
722,Sold,DC7351572DC7351572,2809 Rittenhouse St Nw,"$799,000","$832,000",15-Jul-2010,3,3,1,3,2,Yes,0.133,1940,4,"$6,201","1,455",20015
723,Sold,DC7311021DC7311021,3219 Morrison St Nw,"$1,390,000","$1,345,875",16-Jul-2010,4,2,2,4,1,Yes,0.119,1925,39,"$9,061","2,893",20015
724,Sold,DC7310173DC7310173,5610 Nebraska Ave Nw,"$769,000","$779,000",16-Jul-2010,3,2,1,3,1,Yes,0.11,1940,6,"$6,648","1,380",20015
725,Sold,DC7352450DC7352450,6145 Utah Ave Nw,"$849,900","$840,000",16-Jul-2010,4,3,1,3,1,Yes,0.113,1931,25,"$6,772","1,645",20015
726,Sold,DC7339008DC7339008,5609 32nd St Nw,"$859,000","$866,000",19-Jul-2010,4,3,0,4,1,Yes,0.115,1931,6,"$6,087","1,624",20015
727,Sold,DC7349748DC7349748,4106 Legation St Nw,"$785,000","$807,000",19-Jul-2010,5,2,0,4,1,Yes,0.103,1925,6,"$6,228","2,114",20015
728,Sold,DC7362224DC7362224,3814 Legation St Nw,"$735,000","$735,000",22-Jul-2010,3,2,0,3,1,Yes,0.103,1935,4,"$6,057","1,452",20015
729,Sold,DC7362794DC7362794,6931 33rd St Nw,"$715,000","$707,500",23-Jul-2010,3,2,1,2,1,Yes,0.186,1952,10,"$5,348","1,383",20015
730,Sold,DC7367499DC7367499,3807 Legation St Nw,"$790,000","$790,000",23-Jul-2010,3,2,1,3,1,Yes,0.103,1939,6,"$6,303","1,238",20015
731,Sold,DC7371656DC7371656,5705 27th St Nw,"$525,000","$560,000",23-Jul-2010,3,2,0,3,0,Yes,0.148,1948,10,"$6,430",,20015
732,Sold,DC7325800DC7325800,6015 Utah Ave Nw,"$839,000","$817,000",26-Jul-2010,3,2,1,4,2,Yes,0.106,1936,42,"$7,109","1,929",20015
733,Sold,DC7366475DC7366475,3801 Military Rd Nw,"$749,900","$755,337",26-Jul-2010,4,3,1,3,1,Yes,0.103,1919,14,"$6,019","1,826",20015
734,Sold,DC7099912DC7099912,6100 32nd St Nw,"$619,900","$619,000",28-Jul-2010,2,2,1,3,1,Yes,0.077,1960,330,"$5,861","1,139",20015
