RegionID,RegionName,City,State,Metro,CountyName,SizeRank,MedianSoldPricePerSqft,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-04,406.5301
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-05,377.2645
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-06,435.5133
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-07,426.8955
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-08,433.9933
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-09,460.4721
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-10,464.1475
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-11,460.1085
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-12,442.2195
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-01,446.38
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-02,445.4155
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-03,434.5439
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-04,423.4947
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-05,403.3724
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-06,393.5633
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-07,408.7776
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-08,371.2885
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-09,395.84
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-10,391.3493
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-11,396.6106
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2010-12,382.2539
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-01,415.11
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-02,407.5318
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2011-03,397.6272
