RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,ZhvAvgAllYoY
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-08,0.086867
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-09,0.089278
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-10,0.098394
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-11,0.106235
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-12,0.112806
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-01,0.113712
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-02,0.113918
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-03,0.113971
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-04,0.114073
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-05,0.111641
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-06,0.106552
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-07,0.100894
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-08,0.094475
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-09,0.089051
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-10,0.080313
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-11,0.072024
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2014-12,0.065296
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-01,0.061662
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-02,0.059292
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-03,0.057278
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-04,0.057277
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-05,0.059477
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-06,0.064259
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-07,0.069412
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-08,0.073796
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-09,0.075259
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-10,0.077011
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-11,0.078952
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2015-12,0.08305
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2016-01,0.084858
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2016-02,0.083396
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2016-03,0.0779
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2016-04,0.068646
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2016-05,0.06074
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2016-06,0.054725
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2016-07,0.053336
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2016-08,0.053113
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,396,1997-04,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,396,1997-05,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,396,1997-06,
