RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianListingPrice
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-11,600000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-12,599000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-01,574900
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-02,559000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-03,600000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-04,625000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-05,634500
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-06,659500
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-07,649000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-08,675000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-09,699000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-10,649900
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-11,630000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2015-12,675000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2016-01,639750
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2016-02,668750
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2016-03,659000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2016-04,729900
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2016-05,729000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2016-06,730000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2016-07,732200
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2016-08,699944.5
Petworth,Washington,DC,Washington,District of Columbia,455,2010-01,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-02,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-03,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-04,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-05,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-06,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-07,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-08,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-09,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-10,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-11,
Petworth,Washington,DC,Washington,District of Columbia,455,2010-12,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-01,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-02,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-03,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-04,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-05,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-06,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-07,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-08,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-09,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-10,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-11,
Petworth,Washington,DC,Washington,District of Columbia,455,2011-12,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-01,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-02,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-03,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-04,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-05,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-06,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-07,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-08,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-09,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-10,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-11,
Petworth,Washington,DC,Washington,District of Columbia,455,2012-12,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-01,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-02,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-03,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-04,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-05,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-06,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-07,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-08,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-09,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-10,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-11,
Petworth,Washington,DC,Washington,District of Columbia,455,2013-12,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-01,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-02,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-03,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-04,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-05,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-06,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-07,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-08,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-09,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-10,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-11,
Petworth,Washington,DC,Washington,District of Columbia,455,2014-12,
Petworth,Washington,DC,Washington,District of Columbia,455,2015-01,
Petworth,Washington,DC,Washington,District of Columbia,455,2015-02,
Petworth,Washington,DC,Washington,District of Columbia,455,2015-03,
Petworth,Washington,DC,Washington,District of Columbia,455,2015-04,
Petworth,Washington,DC,Washington,District of Columbia,455,2015-05,569900
Petworth,Washington,DC,Washington,District of Columbia,455,2015-06,549000
Petworth,Washington,DC,Washington,District of Columbia,455,2015-07,519950
Petworth,Washington,DC,Washington,District of Columbia,455,2015-08,499450
Petworth,Washington,DC,Washington,District of Columbia,455,2015-09,499000
Petworth,Washington,DC,Washington,District of Columbia,455,2015-10,569590
Petworth,Washington,DC,Washington,District of Columbia,455,2015-11,556000
Petworth,Washington,DC,Washington,District of Columbia,455,2015-12,571795
Petworth,Washington,DC,Washington,District of Columbia,455,2016-01,604950
Petworth,Washington,DC,Washington,District of Columbia,455,2016-02,599900
Petworth,Washington,DC,Washington,District of Columbia,455,2016-03,594999
Petworth,Washington,DC,Washington,District of Columbia,455,2016-04,599000
Petworth,Washington,DC,Washington,District of Columbia,455,2016-05,598000
Petworth,Washington,DC,Washington,District of Columbia,455,2016-06,597000
Petworth,Washington,DC,Washington,District of Columbia,455,2016-07,599450
Petworth,Washington,DC,Washington,District of Columbia,455,2016-08,599000
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-01,
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-02,
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-03,
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-04,
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-05,
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-06,
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-07,
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-08,
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-09,
Adams Morgan,Washington,DC,Washington,District of Columbia,528,2010-10,
