,Rank,Rank_Year,School,School URL,District,District URL,City,City URL,Zip,County,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score,Rank Change from Prior Year,SchoolDigger Star Rating
43,44,2009-10,Center City Congress Heights Campus Pcs,https://www.schooldigger.com/go/DC/schools/0007300412/school.aspx,Center City Pcs,https://www.schooldigger.com/go/DC/district/00073/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20032,District Of Columbia,PK,8,Yes,Yes,No,No,185,18.0,10.2,82.7,99.5,0.0,0.5,0.0,,,0.0,27.6,,1
44,45,2009-10,Center City Shaw Campus Pcs,https://www.schooldigger.com/go/DC/schools/0007300404/school.aspx,Center City Pcs,https://www.schooldigger.com/go/DC/district/00073/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,PK,8,Yes,Yes,No,No,206,16.0,12.8,85.0,91.7,0.0,1.0,5.8,,,1.5,27.0,,1
45,46,2009-10,Raymond Ec,https://www.schooldigger.com/go/DC/schools/0003000033/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20010,District Of Columbia,PK,8,Yes,No,No,No,357,39.0,9.1,92.4,53.5,0.0,0.8,44.8,,,0.8,26.0,,1
46,47,2009-10,Macfarland Middle School,https://www.schooldigger.com/go/DC/schools/0003000141/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,06,8,(n/a),No,(n/a),No,194,26.0,7.4,90.7,50.5,0.0,0.0,49.5,,,0.0,24.2,,1
47,48,2009-10,Maya Angelou Pcs Evans Middle School,https://www.schooldigger.com/go/DC/schools/0001400392/school.aspx,Maya Angelou Pcs,https://www.schooldigger.com/go/DC/district/00014/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,07,8,(n/a),Yes,(n/a),No,0,22.0,0.0,,,,,,,,,24.1,,1
48,49,2009-10,Ron Brown Middle School,https://www.schooldigger.com/go/DC/schools/0003000021/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,06,8,(n/a),No,(n/a),No,231,26.0,8.8,83.6,99.6,0.0,0.0,0.4,,,0.0,24.1,,1
49,50,2009-10,Shaw Middle School At Garnet Patterson,https://www.schooldigger.com/go/DC/schools/0003000020/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,06,8,(n/a),No,(n/a),No,298,16.0,18.6,88.6,82.2,0.0,1.0,16.8,,,0.0,21.9,,1
50,51,2009-10,Columbia Heights Ec,https://www.schooldigger.com/go/DC/schools/0003000396/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20010,District Of Columbia,06,12,Yes,No,No,No,1276,106.0,12.0,88.9,30.3,0.0,2.7,66.5,,,0.5,21.4,,1
51,52,2009-10,Winston Ec,https://www.schooldigger.com/go/DC/schools/0003000061/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20020,District Of Columbia,PK,8,(n/a),No,(n/a),No,298,25.0,11.9,91.6,97.7,0.0,0.0,2.0,,,0.3,14.9,,1
52,53,2009-10,Wheatley Ec,https://www.schooldigger.com/go/DC/schools/0003000068/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,PK,8,Yes,No,No,No,447,34.0,13.1,85.2,99.1,0.0,0.4,0.2,,,0.2,12.3,,1
