RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,ZhvAvgYoY
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-09,0.069432
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-10,0.059147
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-11,0.049258
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-12,0.041854
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-01,0.038221
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-02,0.03534
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-03,0.032986
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-04,0.031562
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-05,0.033549
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-06,0.038187
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-07,0.043516
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-08,0.047793
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-09,0.049342
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-10,0.051003
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-11,0.051605
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-12,0.053793
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-01,0.053501
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-02,0.051286
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-03,0.046277
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-04,0.039606
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-05,0.034996
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-06,0.031743
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-07,0.032193
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-08,0.033007
66126,20002,Washington,DC,Washington,District of Columbia,38,1997-04,
66126,20002,Washington,DC,Washington,District of Columbia,38,1997-05,
66126,20002,Washington,DC,Washington,District of Columbia,38,1997-06,
66126,20002,Washington,DC,Washington,District of Columbia,38,1997-07,
66126,20002,Washington,DC,Washington,District of Columbia,38,1997-08,
66126,20002,Washington,DC,Washington,District of Columbia,38,1997-09,
66126,20002,Washington,DC,Washington,District of Columbia,38,1997-10,
66126,20002,Washington,DC,Washington,District of Columbia,38,1997-11,
66126,20002,Washington,DC,Washington,District of Columbia,38,1997-12,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-01,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-02,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-03,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-04,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-05,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-06,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-07,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-08,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-09,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-10,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-11,
66126,20002,Washington,DC,Washington,District of Columbia,38,1998-12,
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-01,
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-02,
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-03,
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-04,
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-05,
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-06,0.012087
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-07,0.01281
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-08,0.007059
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-09,0.007053
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-10,0.010204
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-11,0.022889
66126,20002,Washington,DC,Washington,District of Columbia,38,1999-12,0.037331
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-01,0.060048
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-02,0.083736
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-03,0.115073
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-04,0.137652
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-05,0.149518
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-06,0.153662
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-07,0.155731
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-08,0.1581
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-09,0.162646
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-10,0.16317
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-11,0.155093
66126,20002,Washington,DC,Washington,District of Columbia,38,2000-12,0.147014
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-01,0.139728
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-02,0.131501
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-03,0.116279
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-04,0.098221
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-05,0.08951
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-06,0.090407
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-07,0.104651
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-08,0.120377
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-09,0.139224
66126,20002,Washington,DC,Washington,District of Columbia,38,2001-10,0.160321
